style_id,rule,article_index,clip_loo_sim,clip_threshold_full,clip_pair_max,clip_pass_full,clip_threshold_heldout,clip_pass_heldout,dinov2_loo_sim,dinov2_threshold_full,dinov2_pair_max,dinov2_pass_full,dinov2_threshold_heldout,dinov2_pass_heldout,joint_pass_full,joint_pass_heldout
Ladieswear || Sweater || Knitwear || Beige || Melange,median,0,0.9442545026540756,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8684483468532562,0.8151490390300751,0.9485378861427307,false,0.8112562298774719,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,15,0.9574132098091973,0.9595422148704529,0.987939178943634,true,0.9590738415718079,true,0.8836719791094462,0.8804250955581665,0.9652867913246155,false,0.8801240921020508,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,16,0.9582961002985636,0.9595422148704529,0.987939178943634,true,0.9590738415718079,true,0.8786328136920929,0.8804250955581665,0.9652867913246155,true,0.8804250955581665,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,median,17,0.9329946537812551,0.9595422148704529,0.987939178943634,true,0.9605811238288879,true,0.7826097276475694,0.8804250955581665,0.9652867913246155,true,0.885076642036438,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,median,18,0.952602744102478,0.9595422148704529,0.987939178943634,true,0.9598996639251709,true,0.8358021875222524,0.8804250955581665,0.9652867913246155,true,0.885076642036438,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,p90,0,0.9448278579447005,0.9771104454994202,0.987939178943634,true,0.977528703212738,true,0.8265910214847989,0.9279783368110657,0.9652867913246155,true,0.9275591969490051,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,p90,1,0.938387049569024,0.9771104454994202,0.987939178943634,true,0.977528703212738,true,0.8739940921465555,0.9279783368110657,0.9652867913246155,true,0.9299486160278321,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,p90,2,0.9575595226552751,0.9771104454994202,0.987939178943634,true,0.9774006724357605,true,0.8911161422729492,0.9279783368110657,0.9652867913246155,true,0.9257025480270386,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,p90,3,0.9604889220661588,0.9771104454994202,0.987939178943634,true,0.977099597454071,true,0.893691662285063,0.9279783368110657,0.9652867913246155,true,0.9248865127563477,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,p90,4,0.9584906432363722,0.9771104454994202,0.987939178943634,true,0.9774115204811096,true,0.8857368694411384,0.9279783368110657,0.9652867913246155,true,0.9257025480270386,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,p90,5,0.9515913758012984,0.9771104454994202,0.987939178943634,true,0.977528703212738,true,0.8449155886967977,0.9279783368110657,0.9652867913246155,true,0.9275591969490051,true,true,true
