term,week_start,value
blue trousers,2019-11-04,73.0
blue trousers,2019-11-11,74.0
blue trousers,2019-11-18,85.0
blue trousers,2019-11-25,81.0
blue trousers,2019-12-02,78.0
blue trousers,2019-12-09,74.0
blue trousers,2019-12-16,64.0
blue trousers,2019-12-23,68.0
blue trousers,2019-12-30,72.0
blue trousers,2020-01-06,71.0
blue trousers,2020-01-13,79.0
blue trousers,2020-01-20,78.0
blue trousers,2020-01-27,77.0
blue trousers,2020-02-03,76.0
blue trousers,2020-02-10,69.0
blue trousers,2020-02-17,75.0
blue trousers,2020-02-24,77.0
blue trousers,2020-03-02,73.0
blue trousers,2020-03-09,72.0
blue trousers,2020-03-16,47.0
blue trousers,2020-03-23,35.0
blue trousers,2020-03-30,43.0
blue trousers,2020-04-06,43.0
blue trousers,2020-04-13,47.0
blue trousers,2020-04-20,51.0
blue trousers,2020-04-27,49.0
blue trousers,2020-05-04,57.0
blue trousers,2020-05-11,56.0
blue trousers,2020-05-18,59.0
blue trousers,2020-05-25,55.0
blue trousers,2020-06-01,58.0
blue trousers,2020-06-08,62.0
blue trousers,2020-06-15,66.0
blue trousers,2020-06-22,65.0
blue trousers,2020-06-29,70.0
blue trousers,2020-07-06,64.0
blue trousers,2020-07-13,73.0
blue trousers,2020-07-20,73.0
blue trousers,2020-07-27,70.0
blue trousers,2020-08-03,74.0
blue trousers,2020-08-10,71.0
blue trousers,2020-08-17,78.0
blue trousers,2020-08-24,84.0
blue trousers,2020-08-31,84.0
blue trousers,2020-09-07,73.0
blue trousers,2020-09-14,66.0
blue trousers,2020-09-21,69.0
blue trousers,2020-09-28,72.0
blue sweater,2018-08-27,38.0
blue sweater,2018-09-03,36.0
blue sweater,2018-09-10,42.0
blue sweater,2018-09-17,44.0
blue sweater,2018-09-24,53.0
blue sweater,2018-10-01,56.0
blue sweater,2018-10-08,58.0
blue sweater,2018-10-15,63.0
blue sweater,2018-10-22,68.0
blue sweater,2018-10-29,67.0
blue sweater,2018-11-05,71.0
blue sweater,2018-11-12,81.0
blue sweater,2018-11-19,85.0
blue sweater,2018-11-26,92.0
blue sweater,2018-12-03,92.0
blue sweater,2018-12-10,97.0
blue sweater,2018-12-17,88.0
blue sweater,2018-12-24,75.0
blue sweater,2018-12-31,63.0
blue sweater,2019-01-07,67.0
blue sweater,2019-01-14,60.0
blue sweater,2019-01-21,63.0
blue sweater,2019-01-28,61.0
blue sweater,2019-02-04,54.0
blue sweater,2019-02-11,52.0
blue sweater,2019-02-18,50.0
blue sweater,2019-02-25,44.0
blue sweater,2019-03-04,44.0
blue sweater,2019-03-11,42.0
blue sweater,2019-03-18,40.0
blue sweater,2019-03-25,37.0
blue sweater,2019-04-01,38.0
blue sweater,2019-04-08,35.0
blue sweater,2019-04-15,35.0
blue sweater,2019-04-22,28.0
blue sweater,2019-04-29,31.0
blue sweater,2019-05-06,31.0
blue sweater,2019-05-13,32.0
blue sweater,2019-05-20,29.0
blue sweater,2019-05-27,28.0
blue sweater,2019-06-03,28.0
blue sweater,2019-06-10,28.0
blue sweater,2019-06-17,29.0
blue sweater,2019-06-24,25.0
blue sweater,2019-07-01,24.0
blue sweater,2019-07-08,28.0
blue sweater,2019-07-15,28.0
blue sweater,2019-07-22,28.0
blue sweater,2019-07-29,31.0
blue sweater,2019-08-05,30.0
blue sweater,2019-08-12,33.0
blue sweater,2019-08-19,34.0
blue sweater,2019-08-26,41.0
blue sweater,2019-09-02,39.0
blue sweater,2019-09-09,43.0
blue sweater,2019-09-16,47.0
blue sweater,2019-09-23,44.0
blue sweater,2019-09-30,56.0
blue sweater,2019-10-07,58.0
blue sweater,2019-10-14,69.0
blue sweater,2019-10-21,70.0
blue sweater,2019-10-28,73.0
blue sweater,2019-11-04,76.0
blue sweater,2019-11-11,83.0
blue sweater,2019-11-18,82.0
blue sweater,2019-11-25,92.0
blue sweater,2019-12-02,100.0
blue sweater,2019-12-09,96.0
blue sweater,2019-12-16,96.0
blue sweater,2019-12-23,83.0
blue sweater,2019-12-30,69.0
blue sweater,2020-01-06,67.0
blue sweater,2020-01-13,67.0
blue sweater,2020-01-20,61.0
blue sweater,2020-01-27,59.0
blue sweater,2020-02-03,55.0
blue sweater,2020-02-10,52.0
blue sweater,2020-02-17,54.0
blue sweater,2020-02-24,53.0
blue sweater,2020-03-02,46.0
blue sweater,2020-03-09,37.0
blue sweater,2020-03-16,30.0
blue sweater,2020-03-23,29.0
blue sweater,2020-03-30,32.0
blue sweater,2020-04-06,33.0
blue sweater,2020-04-13,32.0
blue sweater,2020-04-20,35.0
blue sweater,2020-04-27,34.0
blue sweater,2020-05-04,34.0
blue sweater,2020-05-11,36.0
blue sweater,2020-05-18,32.0
blue sweater,2020-05-25,34.0
blue sweater,2020-06-01,30.0
blue sweater,2020-06-08,30.0
blue sweater,2020-06-15,30.0
blue sweater,2020-06-22,33.0
blue sweater,2020-06-29,30.0
blue sweater,2020-07-06,34.0
blue sweater,2020-07-13,34.0
blue sweater,2020-07-20,33.0
blue sweater,2020-07-27,35.0
blue sweater,2020-08-03,38.0
blue sweater,2020-08-10,37.0
blue sweater,2020-08-17,39.0
blue sweater,2020-08-24,44.0
