term,week_start,value
Blazer,2019-01-28,2938
Blazer,2019-02-04,2880
Blazer,2019-02-11,2856
Blazer,2019-02-18,2854
Blazer,2019-02-25,2776
Blazer,2019-03-04,2620
Blazer,2019-03-11,2510
Blazer,2019-03-18,2540
Blazer,2019-03-25,2549
Blazer,2019-04-01,2564
Blazer,2019-04-08,2764
Blazer,2019-04-15,2492
Blazer,2019-04-22,2525
Blazer,2019-04-29,2807
Blazer,2019-05-06,2613
Blazer,2019-05-13,2710
Blazer,2019-05-20,2433
Blazer,2019-05-27,2569
Blazer,2019-06-03,2359
Blazer,2019-06-10,2250
Blazer,2019-06-17,2493
Blazer,2019-06-24,2348
Blazer,2019-07-01,2315
Blazer,2019-07-08,2272
Blazer,2019-07-15,2343
Blazer,2019-07-22,2113
Blazer,2019-07-29,2045
Blazer,2019-08-05,2048
Blazer,2019-08-12,2128
Blazer,2019-08-19,2167
Blazer,2019-08-26,2318
Blazer,2019-09-02,2459
Blazer,2019-09-09,2686
Blazer,2019-09-16,2594
Blazer,2019-09-23,2741
Blazer,2019-09-30,2831
Blazer,2019-10-07,2650
Blazer,2019-10-14,2877
Blazer,2019-10-21,2674
Blazer,2019-10-28,2743
Blazer,2019-11-04,2801
Blazer,2019-11-11,2739
Blazer,2019-11-18,2860
Blazer,2019-11-25,2977
Blazer,2019-12-02,3107
Blazer,2019-12-09,3076
Blazer,2019-12-16,2706
Blazer,2019-12-23,2395
Blazer,2019-12-30,2398
Blazer,2020-01-06,2618
Blazer,2020-01-13,2822
Blazer,2020-01-20,2757
Blazer,2020-01-27,2567
Blazer,2020-02-03,2516
Blazer,2020-02-10,2367
Blazer,2020-02-17,2146
Blazer,2020-02-24,2217
Blazer,2020-03-02,2091
Blazer,2020-03-09,1733
Blazer,2020-03-16,1431
Blazer,2020-03-23,1480
Blazer,2020-03-30,1593
Blazer,2020-04-06,1612
Blazer,2020-04-13,1783
Blazer,2020-04-20,1823
Blazer,2020-04-27,1689
Blazer,2020-05-04,1455
Blazer,2020-05-11,1474
Blazer,2020-05-18,1521
Blazer,2020-05-25,1352
Blazer,2020-06-01,1359
Blazer,2020-06-08,1626
Blazer,2020-06-15,1485
Blazer,2020-06-22,1287
Blazer,2020-06-29,1335
Blazer,2020-07-06,1500
Blazer,2020-07-13,1636
Blazer,2020-07-20,1549
Blazer,2020-07-27,1543
Blazer,2020-08-03,1703
Blazer,2020-08-10,2065
Blazer,2020-08-17,1832
Blazer,2020-08-24,1636
Blazer,2020-08-31,1664
Blazer,2020-09-07,1615
Blazer,2020-09-14,1578
Blazer,2020-09-21,1585
Blouse,2018-09-03,2086
Blouse,2018-09-10,2216
Blouse,2018-09-17,2286
Blouse,2018-09-24,2276
Blouse,2018-10-01,2432
Blouse,2018-10-08,2384
Blouse,2018-10-15,2222
Blouse,2018-10-22,2229
Blouse,2018-10-29,2136
Blouse,2018-11-05,2291
Blouse,2018-11-12,2296
Blouse,2018-11-19,2165
Blouse,2018-11-26,2338
Blouse,2018-12-03,2436
Blouse,2018-12-10,2399
Blouse,2018-12-17,2068
Blouse,2018-12-24,2049
Blouse,2018-12-31,2293
Blouse,2019-01-07,2394
Blouse,2019-01-14,2295
Blouse,2019-01-21,2426
Blouse,2019-01-28,2286
Blouse,2019-02-04,2403
Blouse,2019-02-11,2084
Blouse,2019-02-18,2055
Blouse,2019-02-25,2072
Blouse,2019-03-04,2071
Blouse,2019-03-11,2232
Blouse,2019-03-18,2186
Blouse,2019-03-25,2159
Blouse,2019-04-01,2090
Blouse,2019-04-08,2068
Blouse,2019-04-15,2157
Blouse,2019-04-22,1773
Blouse,2019-04-29,1982
Blouse,2019-05-06,1846
Blouse,2019-05-13,1963
Blouse,2019-05-20,1947
Blouse,2019-05-27,2616
Blouse,2019-06-03,1997
Blouse,2019-06-10,1922
Blouse,2019-06-17,2085
Blouse,2019-06-24,1938
Blouse,2019-07-01,1862
Blouse,2019-07-08,1950
Blouse,2019-07-15,1891
Blouse,2019-07-22,2010
Blouse,2019-07-29,1886
Blouse,2019-08-05,1848
Blouse,2019-08-12,1959
Blouse,2019-08-19,1934
Blouse,2019-08-26,2070
Blouse,2019-09-02,2340
Blouse,2019-09-09,2247
Blouse,2019-09-16,2251
Blouse,2019-09-23,2281
Blouse,2019-09-30,2560
Blouse,2019-10-07,2285
Blouse,2019-10-14,2488
Blouse,2019-10-21,2189
Blouse,2019-10-28,2111
Blouse,2019-11-04,2201
Blouse,2019-11-11,2325
Blouse,2019-11-18,2147
Blouse,2019-11-25,2068
Blouse,2019-12-02,2220
Blouse,2019-12-09,2169
Blouse,2019-12-16,2338
Blouse,2019-12-23,1657
Blouse,2019-12-30,1844
Blouse,2020-01-06,2020
Blouse,2020-01-13,1907
Blouse,2020-01-20,1814
Blouse,2020-01-27,1843
Blouse,2020-02-03,1726
Blouse,2020-02-10,1844
Blouse,2020-02-17,1861
Blouse,2020-02-24,1916
Blouse,2020-03-02,1712
Blouse,2020-03-09,1601
Blouse,2020-03-16,1436
Blouse,2020-03-23,1637
Blouse,2020-03-30,1672
Blouse,2020-04-06,1754
Blouse,2020-04-13,1920
Blouse,2020-04-20,1976
Blouse,2020-04-27,1924
Blouse,2020-05-04,1736
Blouse,2020-05-11,1637
Blouse,2020-05-18,1444
Blouse,2020-05-25,1508
Blouse,2020-06-01,1414
Blouse,2020-06-08,1449
Blouse,2020-06-15,1472
Blouse,2020-06-22,1501
Blouse,2020-06-29,1504
Blouse,2020-07-06,1482
Blouse,2020-07-13,1455
Blouse,2020-07-20,1448
Blouse,2020-07-27,1485
Blouse,2020-08-03,1453
Blouse,2020-08-10,1479
Blouse,2020-08-17,1560
Blouse,2020-08-24,1489
Blouse,2020-08-31,1413
Blouse,2020-09-07,1504
Blouse,2020-09-14,1569
Blouse,2020-09-21,1601
Blue,2018-09-03,10097
Blue,2018-09-10,10507
Blue,2018-09-17,10417
Blue,2018-09-24,10738
Blue,2018-10-01,11000
Blue,2018-10-08,10621
Blue,2018-10-15,10521
Blue,2018-10-22,11400
Blue,2018-10-29,10791
Blue,2018-11-05,10336
Blue,2018-11-12,10484
Blue,2018-11-19,10061
Blue,2018-11-26,10568
Blue,2018-12-03,10670
Blue,2018-12-10,10580
Blue,2018-12-17,9326
Blue,2018-12-24,8861
Blue,2018-12-31,9255
Blue,2019-01-07,10783
Blue,2019-01-14,10932
Blue,2019-01-21,9774
Blue,2019-01-28,9944
Blue,2019-02-04,11315
Blue,2019-02-11,9329
Blue,2019-02-18,9802
Blue,2019-02-25,9737
Blue,2019-03-04,8476
Blue,2019-03-11,8603
Blue,2019-03-18,8307
Blue,2019-03-25,8276
Blue,2019-04-01,7955
Blue,2019-04-08,7845
Blue,2019-04-15,7128
Blue,2019-04-22,7619
Blue,2019-04-29,8273
Blue,2019-05-06,8436
Blue,2019-05-13,7960
Blue,2019-05-20,8332
Blue,2019-05-27,8908
Blue,2019-06-03,8888
Blue,2019-06-10,9319
Blue,2019-06-17,9699
Blue,2019-06-24,8525
Blue,2019-07-01,8477
Blue,2019-07-08,8821
Blue,2019-07-15,9009
Blue,2019-07-22,8953
Blue,2019-07-29,10042
Blue,2019-08-05,8989
Blue,2019-08-12,8504
Blue,2019-08-19,9030
Blue,2019-08-26,8040
Blue,2019-09-02,8667
Blue,2019-09-09,10768
Blue,2019-09-16,11316
Blue,2019-09-23,9421
Blue,2019-09-30,9317
Blue,2019-10-07,8767
Blue,2019-10-14,8215
Blue,2019-10-21,9346
Blue,2019-10-28,8488
Blue,2019-11-04,8180
Blue,2019-11-11,10254
