origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2019-09-23,random_floor,true,false,3042,3042,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.005,0.3548097658023551,0.0004804211827314208,0.5091504586539666,0.08276012291907535,0.0929113090972111,0.10456180642346528,0.016666666666666666
2019-09-30,random_floor,true,false,3044,3044,0.0,0.0,0.0,0.0,0.3906782899341571,0.004195973671778456,0.5050903330149337,0.07889288586172241,0.10376582993775615,0.11348280342298464,0.0
2019-10-07,random_floor,true,false,3044,3044,0.0,0.0,0.0,0.005,0.3814331543480441,0.003662885198675295,0.49900624749006994,0.0748404621098575,0.0962321636921313,0.11447943857610669,0.0
2019-10-14,random_floor,true,false,3042,3042,0.0,0.0,0.0,0.0,0.3835220379899623,0.0012290358635466494,0.4951311407737431,0.07796274134656424,0.07909462146996699,0.09699929934969831,0.0
2019-10-21,random_floor,true,false,3042,3042,0.0,0.0,0.0,0.0,0.38451445310705956,0.0011632668271651086,0.4902230532449465,0.07116737126709852,0.08098461899961802,0.09928192412116413,0.0
2019-10-28,random_floor,true,false,3039,3039,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01,0.4290515995348393,0.004662048591438585,0.48806786268830826,0.09507322542585166,0.10700028304610151,0.1208207157050537,0.016666666666666666
2019-11-04,random_floor,true,false,3038,3038,0.0,0.0,0.0,0.005,0.40146969189233006,0.0014328518274538183,0.48107340993652886,0.06842946630189485,0.10340167638872637,0.11504826636198877,0.0
2019-11-11,random_floor,true,false,3034,3034,0.0,0.0,0.0,0.0,0.3924597569291,0.0007278499593919125,0.47328853342060917,0.07916084829835683,0.095362580759603,0.10910196245940706,0.0
2019-11-18,random_floor,true,false,3028,3028,0.0,0.0,0.0,0.0,0.4023903577067164,0.001047791935530313,0.4735353201925424,0.08567972985153278,0.10071295059143053,0.12049911962344007,0.0
2019-11-25,random_floor,true,false,3023,3023,0.0,0.0,0.0,0.0,0.3977584554720913,-0.0005881458960188279,0.48275248722624875,0.0859323493815564,0.09447372957075248,0.11242434451564898,0.0
2019-12-02,random_floor,true,true,3020,3020,0.0,0.0,0.0,0.01,0.4143317052324006,-1.802334468298944e-7,0.46787080028075645,0.07758187675368985,0.11097523446580666,0.1172745124501762,0.0
2019-12-09,random_floor,true,true,3016,3016,0.0,0.0,0.0,0.0,0.4279535488195384,-0.0009327778881171311,0.4636784136529541,0.09492860249555954,0.113655402087837,0.11842811857518498,0.0
2019-12-16,random_floor,true,true,3014,3014,0.0,0.0,0.0,0.005,0.42629147259354827,0.0018158159248137997,0.4741222490138474,0.09014729289038957,0.11472863548002396,0.11823646272131536,0.0
