season,comparator,metric,n_origins,n_both_defined,model_mean,comparator_mean,mean_diff,ci_lo,ci_hi,ess_ac,ess_boot,THIN
winter,ewma_persistence,spearman_rho,13,13,0.7194537137123569,0.6028994174093197,0.11655429630303728,0.10476101839892371,0.13436813361926694,12.157138519608532,10.933140471114287,false
winter,ewma_persistence,wmape,13,13,0.15285127942518006,0.18811423563224758,-0.03526295620706753,-0.03727236696153684,-0.031506333621128285,13.0,13.0,false
winter,parent_category_mean,hit_at_3_in_top20,13,13,0.4871794871794871,0.02564102564102564,0.46153846153846156,0.3333333333333333,0.7179487179487178,9.501553760099444,13.0,false
winter,parent_category_mean,hit_at_3_in_top10,13,13,0.17948717948717946,0.0,0.17948717948717946,0.07692307692307693,0.3076923076923077,7.0451612903225795,7.632102685846976,false
winter,parent_category_mean,precision_at_3,13,13,0.0,0.0,0.0,0.0,0.0,13.0,13.0,false
winter,parent_category_mean,precision_at_10,13,13,0.15384615384615385,0.007692307692307693,0.14615384615384613,0.05384615384615385,0.2538461538461539,5.5858847950181625,6.102986504774523,false
winter,parent_category_mean,ndcg_at_10,13,13,0.8872285078547818,0.3375415381846975,0.5496869696700845,0.4112735515698511,0.7087882657285749,4.752987019440406,5.927637964377938,true
winter,parent_category_mean,spearman_rho,13,13,0.7194537137123569,0.2357642233602418,0.48368949035211517,0.47480344620450377,0.509548079392561,13.0,12.581634900954926,false
winter,parent_category_mean,wmape,13,13,0.15285127942518006,0.24332499009727243,-0.09047371067209237,-0.09369880308736807,-0.08834271565472948,13.0,13.0,false
winter,global_mean,hit_at_3_in_top20,13,13,0.4871794871794871,0.0,0.48717948717948717,0.3589743589743589,0.7179487179487178,10.06896551724138,12.536192988742673,false
winter,global_mean,hit_at_3_in_top10,13,13,0.17948717948717946,0.0,0.17948717948717946,0.07692307692307693,0.3076923076923077,7.0451612903225795,7.632102685846976,false
winter,global_mean,precision_at_3,13,13,0.0,0.0,0.0,0.0,0.0,13.0,13.0,false
winter,global_mean,precision_at_10,13,13,0.15384615384615385,0.0,0.15384615384615385,0.06153846153846154,0.2538461538461539,5.589251439539347,5.39387529817181,false
winter,global_mean,ndcg_at_10,13,13,0.8872285078547818,0.21637031068253065,0.6708581971722514,0.6663285770852363,0.6749247843537596,13.0,13.0,false
winter,global_mean,spearman_rho,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
winter,global_mean,wmape,13,13,0.15285127942518006,0.30606438461857527,-0.1532131051933952,-0.1572713956804754,-0.1496046652352103,13.0,13.0,false
winter,random_floor,hit_at_3_in_top20,13,13,0.4871794871794871,0.001282051282051282,0.48589743589743584,0.3589743589743589,0.7153846153846154,10.24030442081701,12.75371209384923,false
winter,random_floor,hit_at_3_in_top10,13,13,0.17948717948717946,0.001282051282051282,0.17820512820512818,0.07564102564102562,0.3038461538461539,7.104237427864797,7.69749681460264,false
winter,random_floor,precision_at_3,13,13,0.0,0.001282051282051282,-0.001282051282051282,-0.0038461538461538464,0.0,13.0,13.0,false
winter,random_floor,precision_at_10,13,13,0.15384615384615385,0.0026923076923076926,0.15115384615384617,0.05884615384615385,0.25115384615384617,5.610468076221984,5.382113055913828,false
winter,random_floor,ndcg_at_10,13,13,0.8872285078547818,0.4010860995080664,0.48614240834671557,0.46906682917566195,0.5012983128522861,12.896413268875015,9.784670164307688,false
winter,random_floor,spearman_rho,13,13,0.7194537137123569,0.0017714855209093536,0.7176822281914478,0.6925773585801993,0.749288498086841,8.256554484104875,7.591559433010474,false
winter,random_floor,wmape,13,13,0.15285127942518006,0.4799616965900537,-0.32711041716487366,-0.33087620045223765,-0.32374705592775793,13.0,13.0,false
spring,seasonal_naive,hit_at_3_in_top20,13,13,0.641025641025641,0.46153846153846156,0.17948717948717946,-0.1538461538461538,0.46153846153846156,7.431731178222034,6.54869876622648,false
spring,seasonal_naive,hit_at_3_in_top10,13,13,0.5641025641025641,0.4358974358974359,0.1282051282051282,-0.1794871794871795,0.41025641025641024,6.626788036410923,5.908613102971094,false
spring,seasonal_naive,precision_at_3,13,13,0.1282051282051282,0.20512820512820512,-0.0769230769230769,-0.3589743589743589,0.1282051282051282,8.127527216174188,6.2279890344005615,false
spring,seasonal_naive,precision_at_10,13,13,0.25384615384615383,0.2692307692307692,-0.015384615384615382,-0.1,0.03076923076923077,13.0,11.395267483990542,false
spring,seasonal_naive,ndcg_at_10,13,13,0.8931388726230333,0.7654908928591252,0.12764797976390796,0.05204080412368836,0.21001340099395543,5.380339984803369,4.858010164787795,false
